Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GTEX-WVLH-0011-R8A-SM-3MJFC_brain_male_50-59_years	1/560	0.433491578926535059412827877167728729546070098876953125	0.95565512433056820640331352478824555873870849609375	0.39503163969814758527121512088342569768428802490234375	0.90740010531958592565615617786534130573272705078125	-0.9475353196472381	0.792028579106623	CADPS2
GTEX-V1D1-1126-SM-4JBHT_esophagus_male_50-59_years	1/580	0.4450404935159497643581971715320833027362823486328125	0.95565512433056820640331352478824555873870849609375	0.40593918880080892552797422467847354710102081298828125	0.90740010531958592565615617786534130573272705078125	-0.9779294784777667	0.7917219306769018	CADPS2
GTEX-U8XE-0226-SM-4E3J3_skin_male_30-39_years	2/1440	0.427542200796657112515930521112750284373760223388671875	0.95565512433056820640331352478824555873870849609375	0.367101066618252647177911285325535573065280914306640625	0.90740010531958592565615617786534130573272705078125	-0.9305330972981026	0.7906760945418393	ELOVL4;RARS
GTEX-XXEK-1226-SM-4BRUY_prostate_male_50-59_years	2/1459	0.434298939857632959604671896158833988010883331298828125	0.95565512433056820640331352478824555873870849609375	0.373344996162447484433499766964814625680446624755859375	0.90740010531958592565615617786534130573272705078125	-0.9440830542403008	0.7873862074529746	UBP1;KPNA4
GTEX-UJMC-1026-SM-4IHKN_esophagus_male_50-59_years	1/579	0.4444683998042417982787810615263879299163818359375	0.95565512433056820640331352478824555873870849609375	0.405398236763968522478052136648329906165599822998046875	0.90740010531958592565615617786534130573272705078125	-0.9709485093721859	0.7873191523534447	CADPS2
GTEX-OHPM-0426-SM-3TW8V_blood vessel_male_50-59_years	1/593	0.452426965573781536544828441037680022418498992919921875	0.95565512433056820640331352478824555873870849609375	0.4129295476510066453812441977788694202899932861328125	0.90740010531958592565615617786534130573272705078125	-0.9892091771200451	0.7845704171012801	RAB11FIP5
GTEX-NFK9-2226-SM-3MJGP_prostate_male_40-49_years	2/1480	0.441724324975643123369906106745474971830844879150390625	0.95565512433056820640331352478824555873870849609375	0.38022434849076314211657745545380748808383941650390625	0.90740010531958592565615617786534130573272705078125	-0.9536175265924858	0.7791715959907822	SH3BGRL2;CCDC28A
GTEX-OXRO-1726-SM-3LK6C_muscle_female_60-69_years	2/1524	0.4571312534687186346360476818517781794071197509765625	0.95565512433056820640331352478824555873870849609375	0.394557629826387701310608235871768556535243988037109375	0.90740010531958592565615617786534130573272705078125	-0.9925901565258124	0.7769844103404473	ABCA5;UBE3A
GTEX-S341-0426-SM-4AD5L_esophagus_female_40-49_years	1/592	0.451862107900328380249987958450219593942165374755859375	0.95565512433056820640331352478824555873870849609375	0.412394588500287984089709425461478531360626220703125	0.90740010531958592565615617786534130573272705078125	-0.9698669885886595	0.7704412088414494	CADPS2
GTEX-RUSQ-0526-SM-2TF72_heart_male_50-59_years	1/611	0.462500334138479962664547429085359908640384674072265625	0.95565512433056820640331352478824555873870849609375	0.422480780608008366083794271617080084979534149169921875	0.90740010531958592565615617786534130573272705078125	-0.9941744183596232	0.7666158469633069	GABARAPL1
GTEX-WH7G-0526-SM-3NMBI_thyroid_male_40-49_years	2/1499	0.44840285744976460247102068024105392396450042724609375	0.95565512433056820640331352478824555873870849609375	0.38642758846922564686110490583814680576324462890625	0.90740010531958592565615617786534130573272705078125	-0.9551172151818236	0.7660643845571233	SH3BGRL2;LZTFL1
GTEX-SNMC-0426-SM-4DM5Y_esophagus_male_20-29_years	1/564	0.43581947343626559199236680797184817492961883544921875	0.95565512433056820640331352478824555873870849609375	0.39722811607705132974643902343814261257648468017578125	0.90740010531958592565615617786534130573272705078125	-0.9192839003114397	0.7634902590276342	CADPS2
GTEX-WOFL-0626-SM-3MJG3_muscle_male_60-69_years	1/610	0.46194535258486391082755062598153017461299896240234375	0.95565512433056820640331352478824555873870849609375	0.421954016608975746027709874397260136902332305908203125	0.90740010531958592565615617786534130573272705078125	-0.985469788763649	0.761086871094353	ABCA5
GTEX-WFON-0226-SM-3GIKR_heart_male_40-49_years	1/597	0.454680871320433777071912118117325007915496826171875	0.95565512433056820640331352478824555873870849609375	0.415064803833824547130149085205630399286746978759765625	0.90740010531958592565615617786534130573272705078125	-0.9648590895198282	0.7604628458218923	KPNA4
